municipio,provincia,comunidad_autonoma,nombre,apellidos,cargo,email,tipo_email,fuente,origen,fecha_alta,hubspot_sync
La Guancha,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.tenerife.es/la-guancha,manual,2026-09-01,
Los Realejos,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://losrealejos.es/contratacion/,manual,2026-09-01,
Puerto de la Cruz,Santa Cruz de Tenerife,Canarias,,,,alcaldia@puertodelacruz.es,General,https://www.puertodelacruz.es/,manual,2026-09-01,
La Orotava,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.laorotava.es/,manual,2026-09-01,
Santa Úrsula,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.tenerife.es/santa-ursula,manual,2026-09-01,
Tacoronte,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.tacoronte.es/,manual,2026-09-01,
El Sauzal,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.elsauzal.es/,manual,2026-09-01,
La Matanza de Acentejo,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.matanceros.es/,manual,2026-09-01,
La Victoria de Acentejo,Santa Cruz de Tenerife,Canarias,,,,info@lavictoriadeacentejo.es,General,https://www.lavictoriadeacentejo.es/,manual,2026-09-01,
Santa Cruz de La Palma,Santa Cruz de Tenerife,Canarias,,,,alcaldia@santacruzdelapalma.es,General,https://www.santacruzdelapalma.es/,manual,2026-09-01,
Breña Baja,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.bbaja.es/es/index.php/ayuntamiento/contacto,manual,2026-09-01,
Villa de Mazo,Santa Cruz de Tenerife,Canarias,,,,ayuntamiento@villademazo.es,General,https://villademazo.com/el-ayuntamiento/,manual,2026-09-01,
Tijarafe,Santa Cruz de Tenerife,Canarias,,,,tijarafe@tijarafe.org,General,https://tijarafe.net/,manual,2026-09-01,
Puntagorda,Santa Cruz de Tenerife,Canarias,,,,registro@puntagorda.es,General,https://www.puntagorda.es/ayuntamiento/registro/,manual,2026-09-01,
Garafía,Santa Cruz de Tenerife,Canarias,,,,mrodriguez@garafia.org,General,https://www.garafia.es/contacto/,manual,2026-09-01,
Barlovento,Santa Cruz de Tenerife,Canarias,,,,secretario@barlovento.es,General,https://barlovento.es/departamentos/secretaria/,manual,2026-09-01,
San Andrés y Sauces,Santa Cruz de Tenerife,Canarias,,,,contratacion@sanandresysauces.es,Contratación,https://sanandresysauces.es/ayuntamiento/departamentos/,manual,2026-09-01,
Puntallana,Santa Cruz de Tenerife,Canarias,,,,ayuntamiento@puntallana.es,General,https://puntallana.es/2009/03/areas-y-servicios/,manual,2026-09-01,
Los Llanos de Aridane,Santa Cruz de Tenerife,Canarias,,,,informacion@aridane.org,General,https://www.aridane.org/city/contacto/,manual,2026-09-01,
Tazacorte,Santa Cruz de Tenerife,Canarias,,,,contratacion@tazacorte.es,Contratación,https://transparencia.tazacorte.es/,manual,2026-09-01,
Fuencaliente de La Palma,Santa Cruz de Tenerife,Canarias,,,,secretaria@fuencalientedelapalma.es,General,https://fuencalientedelapalma.es/ayuntamiento/directorio-contactos/,manual,2026-09-01,
San Sebastián de La Gomera,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://sansebastiangomera.org/contacto/,manual,2026-09-01,
Hermigua,Santa Cruz de Tenerife,Canarias,,,,informacion@villadehermigua.com,General,https://www.villadehermigua.com/,manual,2026-09-01,
Agulo,Santa Cruz de Tenerife,Canarias,,,,registro@aytoagulo.com,General,https://eadmin.agulo.org/public/ddlo/directorio.aspx,manual,2026-09-01,
Vallehermoso,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://aytovallehermoso.net/gobierno-municipal/directorio-telefonico/,manual,2026-09-01,
Alajeró,Santa Cruz de Tenerife,Canarias,,,,,No encontrado,https://www.ayuntamientoalajero.es/,manual,2026-09-01,
Valle Gran Rey,Santa Cruz de Tenerife,Canarias,,,,informacion@vallegranrey.es,General,https://sede.vallegranrey.es/publico/contratacion,manual,2026-09-01,
Valverde,Santa Cruz de Tenerife,Canarias,,,,valverde@aytovalverde.org,General,https://aytovalverde.org/contacto/,manual,2026-09-01,
Frontera,Santa Cruz de Tenerife,Canarias,,,,info@aytofrontera.org,General,https://www.aytofrontera.org/,manual,2026-09-01,
El Pinar de El Hierro,Santa Cruz de Tenerife,Canarias,,,,elpinardeelhierro@aytoelpinar.org,General,https://elpinardeelhierro.com/,manual,2026-09-01,
Santa Susanna,Barcelona,Cataluña,Joan,Campolier,Alcalde,ajuntament@stasusanna.org,General (nominal · verificado Apollo),http://www.linkedin.com/in/joan-campolier-bb9a5027,apollo,2026-09-02,creado
